宗順,"そうじゅん","Shogi pro: 大橋宗順",First Name:
室岡,"むろおか","Shogi pro: 室岡克彦",Last Name:
室田,"むろた","Shogi pro: 室田伊緒",Last Name:
室谷,"むろや","Shogi pro: 室谷由紀",Last Name:
宮坂,"みやさか","Shogi pro: 宮坂幸雄",Last Name:
宮宗,"みやそう","Shogi pro: 宮宗紫野",Last Name:
宮嶋,"みやじま","Shogi pro: 宮嶋健太",Last Name:
宮本,"みやもと","Shogi pro: 宮本広志",Last Name:
宮松,"みやまつ","Shogi pro: 宮松関三郎",Last Name:
宮澤,"みやざわ","Shogi pro: 宮澤紗希",Last Name:
宮田,"みやた","Shogi pro: 宮田利男, 宮田敦史",Last Name:
家治,"いえはる","Shogi pro: 徳川家治",First Name:
寅彦,"とらひこ","Shogi pro: 田中寅彦",First Name:
富岡,"とみおか","Shogi pro: 富岡英作",Last Name:
富沢,"とみざわ","Shogi pro: 富沢幹雄",Last Name:
寺下,"てらした","Shogi pro: 寺下紀子",Last Name:
寿子,"ひさこ","Shogi pro: 佐藤寿子",First Name:
将之,"まさゆき","Shogi pro: 豊島将之",First Name:
小倉,"おぐら","Shogi pro: 小倉久史",Last Name:
小堀,"こぼり","Shogi pro: 小堀清一",Last Name:
小山,"こやま","Shogi pro: 小山怜央, 小山直希",Last Name:
小林,"こばやし","Shogi pro: 小林健二, 小林宏, 小林東伯斎, 小林裕士",Last Name:
小泉,"こいずみ","Shogi pro: 小泉雅信",Last Name:
小百合,"さゆり","Shogi pro: 本田小百合",First Name:
小菅,"こすげ","Shogi pro: 小菅剣之助",Last Name:
小野,"おの","Shogi pro: 小野五平, 小野修一, 小野敦生",Last Name:
小阪,"こさか","Shogi pro: 小阪昇",Last Name:
小高,"おだか","Shogi pro: 小高佐季子",Last Name:
尚史,"ひさし","Shogi pro: 行方尚史",First Name:
尚平,"しょうへい","Shogi pro: 高田尚平",First Name:
尭之,"たかゆき","Shogi pro: 黒田尭之",First Name:
屋敷,"やしき","Shogi pro: 屋敷伸之",Last Name:
山下,"やました","Shogi pro: 山下カズ子",Last Name:
山中,"やまなか","Shogi pro: 山中和正",Last Name:
山口,"やまぐち","Shogi pro: 山口仁子梨, 山口千嶺, 山口恵梨子, 山口稀良莉, 山口絵美菜, 山口英夫",Last Name:
山崎,"やまさき","Shogi pro: 山崎隆之",Last Name:
山川,"やまかわ","Shogi pro: 山川次彦, 山川泰煕",Last Name:
山本,"やまもと","Shogi pro: 山本博志, 山本樟郎, 山本武雄, 山本真也",Last Name:
山根,"やまね","Shogi pro: 山根ことみ",Last Name:
山田,"やまだ","Shogi pro: 山田久美, 山田朱未, 山田道美",Last Name:
岡崎,"おかざき","Shogi pro: 岡崎史明, 岡崎洋",Last Name:
岡部,"おかべ","Shogi pro: 岡部怜央",Last Name:
岩佐,"いわさ","Shogi pro: 岩佐美帆子",Last Name:
岩根,"いわね","Shogi pro: 岩根忍",Last Name:
島,"しま","Shogi pro: 島朗",Last Name:
島井,"しまい","Shogi pro: 島井咲緒里",Last Name:
島本,"しまもと","Shogi pro: 島本亮",Last Name:
崇載,"たかのり","Shogi pro: 橋本崇載",First Name:
崎原,"さきはら","Shogi pro: 崎原知宙",Last Name:
川上,"かわかみ","Shogi pro: 川上猛",Last Name:
川井,"かわい","Shogi pro: 川井房郷",Last Name:
川又,"かわまた","Shogi pro: 川又咲紀",Last Name:
市代,"いちよ","Shogi pro: 清水市代",First Name:
市太郎,"いちたろう","Shogi pro: 土居市太郎",First Name:
市川,"いちかわ","Shogi pro: 市川一郎, 市川伸",Last Name:
市郎,"いちろう","Shogi pro: 日浦市郎",First Name:
常吉,"つねよし","Shogi pro: 津村常吉",First Name:
常夫,"つねお","Shogi pro: 菊地常夫",First Name:
平藤,"ひらふじ","Shogi pro: 平藤眞吾",Last Name:
平野,"ひらの","Shogi pro: 平野信助, 平野広吉",Last Name:
幸三,"こうぞう","Shogi pro: 升田幸三",First Name:
幸子,"ゆきこ","Shogi pro: 村山幸子",First Name:
幸生,"さきお","Shogi pro: 千葉幸生",First Name:
幸男,"ゆきお","Shogi pro: 下平幸男",First Name:
幸緒,"さちお","Shogi pro: 石橋幸緒",First Name:
幸雄,"ゆきお","Shogi pro: 宮坂幸雄",First Name:
幹太,"かんた","Shogi pro: 柵木幹太",First Name:
幹生,"みきお","Shogi pro: 狩山幹生",First Name:
幹雄,"みきお","Shogi pro: 富沢幹雄",First Name:
広人,"ひろと","Shogi pro: 桐谷広人",First Name:
広吉,"ひろきち","Shogi pro: 平野広吉",First Name:
広志,"ひろし","Shogi pro: 宮本広志, 神谷広志",First Name:
広恵,"ひろえ","Shogi pro: 中井広恵",First Name:
広瀬,"ひろせ","Shogi pro: 広瀬章人",Last Name:
庄平,"しょうへい","Shogi pro: 佐藤庄平",First Name:
康介,"こうすけ","Shogi pro: 田村康介",First Name:
康光,"やすみつ","Shogi pro: 佐藤康光",First Name:
康夫,"やすお","Shogi pro: 伊達康夫",First Name:
康宏,"やすひろ","Shogi pro: 増田康宏",First Name:
康市,"こういち","Shogi pro: 深浦康市",First Name:
康晴,"やすはる","Shogi pro: 大山康晴",First Name:
廣津,"ひろつ","Shogi pro: 廣津久雄",Last Name:
廣紀,"ひろき","Shogi pro: 谷合廣紀",First Name:
延介,"のぶゆき","Shogi pro: 大内延介",First Name:
建部,"たけべ","Shogi pro: 建部和歌夫",Last Name:
弘之,"ひろゆき","Shogi pro: 飯田弘之",First Name:
弘光,"ひろみつ","Shogi pro: 高島弘光",First Name:
弘治,"こうじ","Shogi pro: 堀口弘治",First Name:
弘行,"ひろゆき","Shogi pro: 三浦弘行",First Name:
弥,"わたる","Shogi pro: 八代弥",First Name:
弥生,"みお","Shogi pro: 渡辺弥生",First Name:
彩乃,"あやの","Shogi pro: 堀彩乃, 野田澤彩乃",First Name:
彩子,"あやこ","Shogi pro: 真田彩子",First Name:
彪,"たけし","Shogi pro: 大和久彪",First Name:
彰子,"あきこ","Shogi pro: 中倉彰子, 蛸島彰子",First Name:
得寿,"とくじゅ","Shogi pro: 伊藤得寿",First Name:
徳川,"とくがわ","Shogi pro: 徳川家治",Last Name:
徳田,"とくだ","Shogi pro: 徳田拳士",Last Name:
忍,"しのぶ","Shogi pro: 岩根忍",First Name:
志沢,"しざわ","Shogi pro: 志沢春吉",Last Name:
忠久,"ただひさ","Shogi pro: 丸山忠久",First Name:
忠雄,"ただお","Shogi pro: 北島忠雄",First Name:
怜央,"れお","Shogi pro: 小山怜央, 岡部怜央",First Name:
怜生,"れお","Shogi pro: 黒沢怜生",First Name:
恒太,"こうた","Shogi pro: 金井恒太",First Name:
恒平,"こうへい","Shogi pro: 船江恒平",First Name:
恵三,"けいぞう","Shogi pro: 加藤恵三",First Name:
恵梨子,"えりこ","Shogi pro: 山口恵梨子",First Name:
恵梨花,"えりか","Shogi pro: 塚田恵梨花",First Name:
悟,"さとる","Shogi pro: 阪口悟",First Name:
悠一,"ゆういち","Shogi pro: 田中悠一",First Name:
悠太,"ゆうた","Shogi pro: 古森悠太",First Name:
悠聖,"ゆうせい","Shogi pro: 古賀悠聖",First Name:
悦行,"よしゆき","Shogi pro: 植山悦行",First Name:
愛,"あい,まな","Shogi pro: 飯野愛, 渡部愛",First Name:
愛子,"あいこ","Shogi pro: 高浜愛子",First Name:
愛生,"まなお","Shogi pro: 香川愛生",First Name:
愛菓,"まなか","Shogi pro: 伊奈川愛菓",First Name:
慈明,"やすあき","Shogi pro: 村山慈明",First Name:
慎,"まこと","Shogi pro: 佐々木慎",First Name:
慎一,"しんいち","Shogi pro: 佐藤慎一",First Name:
慎一郎,"しんいちろう","Shogi pro: 服部慎一郎",First Name:
慎吾,"しんご","Shogi pro: 関口慎吾",First Name:
慎太郎,"しんたろう","Shogi pro: 斎藤慎太郎",First Name:
慶二,"けいじ","Shogi pro: 西川慶二",First Name:
慶太,"けいた","Shogi pro: 井上慶太",First Name:
慶虎,"よしとら","Shogi pro: 野村慶虎",First Name:
成幸,"なるゆき","Shogi pro: 畠山成幸",First Name:
戸辺,"とべ","Shogi pro: 戸辺誠",Last Name:
房郷,"ふさくに","Shogi pro: 川井房郷",First Name:
所司,"しょし","Shogi pro: 所司和晴",Last Name:
才跳,"さいと","Shogi pro: 森本才跳",First Name:
折田,"おりた","Shogi pro: 折田翔吾",Last Name:
拓也,"たくや","Shogi pro: 西田拓也",First Name:
拓矢,"たくや","Shogi pro: 永瀬拓矢",First Name:
拓馬,"たくま","Shogi pro: 及川拓馬",First Name:
拳士,"けんし","Shogi pro: 徳田拳士",First Name:
捨吉,"すてきち","Shogi pro: 中井捨吉",First Name:
政和,"まさかず","Shogi pro: 若松政和",First Name:
敏之,"としゆき","Shogi pro: 中尾敏之",First Name:
敏二,"としじ","Shogi pro: 増田敏二",First Name:
敏太郎,"としたろう","Shogi pro: 橋爪敏太郎",First Name:
敏夫,"としお","Shogi pro: 高柳敏夫",First Name:
敦史,"あつし","Shogi pro: 宮田敦史",First Name:
敦生,"あつお","Shogi pro: 小野敦生",First Name:
敬三,"けいぞう","Shogi pro: 二見敬三, 野田敬三",First Name:
文吾,"ぶんご","Shogi pro: 福崎文吾",First Name:
文男,"ふみお","Shogi pro: 北村文男",First Name:
斎田,"さいだ","Shogi pro: 斎田晴子",Last Name:
